epoch,loss,train_acc,val_acc
1,3.3274,6.83,7.69
2,2.9628,14.15,17.95
3,2.7216,22.93,33.33
4,2.5333,38.54,35.9
5,2.4586,35.61,41.03
6,2.3568,40.49,43.59
7,2.2212,43.9,46.15
8,2.1287,51.71,53.85
9,2.1228,51.71,51.28
10,2.0173,54.15,53.85
11,1.9284,60.98,56.41
12,1.876,60.98,56.41
13,1.7943,65.37,56.41
14,1.8299,64.39,58.97
15,1.8114,62.44,56.41
16,1.7458,67.32,61.54
17,1.748,64.88,61.54
18,1.7496,67.8,61.54
19,1.7043,67.8,61.54
20,1.661,67.32,61.54
21,1.6615,68.29,64.1
22,1.5975,71.22,64.1
23,1.6198,71.22,64.1
24,1.6282,71.71,64.1
25,1.6393,67.8,66.67
26,1.7426,65.37,66.67
27,1.6245,66.34,66.67
28,1.6017,67.8,66.67
29,1.5865,70.24,66.67
30,1.6443,66.83,66.67
31,1.6037,67.8,66.67
32,1.6455,71.22,66.67
33,1.5846,74.15,64.1
34,1.6446,65.37,64.1
35,1.5378,75.12,64.1
