epoch,loss,train_acc,val_acc
1,3.1872,2.44,7.69
2,3.1149,6.83,10.26
3,3.0794,5.85,12.82
4,3.0294,13.66,20.51
5,3.0205,13.66,25.64
6,2.9877,13.66,33.33
7,2.9578,19.02,38.46
8,2.9127,23.9,35.9
9,2.8686,32.68,46.15
10,2.8525,30.73,43.59
11,2.8344,31.71,48.72
12,2.8048,31.71,48.72
13,2.787,39.02,51.28
14,2.7514,40.0,56.41
15,2.7431,42.93,56.41
16,2.6961,45.85,53.85
17,2.7175,45.85,56.41
18,2.6678,44.39,51.28
19,2.6572,50.24,58.97
20,2.5935,52.68,58.97
21,2.5827,54.63,58.97
22,2.6056,53.66,61.54
23,2.5732,54.63,64.1
24,2.5799,50.73,66.67
25,2.5605,49.27,66.67
26,2.5488,50.73,66.67
27,2.5297,54.15,66.67
28,2.5405,53.17,66.67
29,2.5204,55.61,66.67
30,2.5353,55.12,64.1
31,2.4991,58.54,64.1
32,2.5294,59.51,64.1
33,2.4893,62.44,66.67
34,2.4844,57.56,69.23
35,2.5061,59.02,66.67
36,2.5215,54.63,61.54
37,2.529,53.66,66.67
38,2.5159,56.59,66.67
39,2.4742,62.44,66.67
40,2.4923,56.1,64.1
