epoch,loss,train_acc,val_acc
1,3.1877,4.39,7.69
2,3.0944,6.34,12.82
3,3.0609,8.29,17.95
4,3.0093,13.17,15.38
5,2.976,20.0,17.95
6,2.9515,18.05,23.08
7,2.9138,23.41,17.95
8,2.8859,29.27,23.08
9,2.8354,29.76,23.08
10,2.8039,32.2,30.77
11,2.8034,33.66,35.9
12,2.7766,33.17,33.33
13,2.7719,37.07,33.33
14,2.7168,39.02,38.46
15,2.6958,42.93,38.46
16,2.6736,42.93,46.15
17,2.6299,46.83,46.15
18,2.6327,46.83,46.15
19,2.5829,49.76,48.72
20,2.5845,48.78,51.28
21,2.5917,48.78,53.85
22,2.5499,52.68,53.85
23,2.5267,49.76,53.85
24,2.5127,51.71,51.28
25,2.4998,54.63,53.85
26,2.5017,54.15,56.41
27,2.5057,53.66,58.97
28,2.5173,51.71,56.41
29,2.4582,54.15,58.97
30,2.464,58.05,56.41
31,2.4605,56.1,56.41
32,2.4773,53.17,56.41
33,2.4671,55.12,56.41
34,2.452,57.56,56.41
35,2.4606,55.12,53.85
36,2.4457,57.56,56.41
37,2.4866,52.68,53.85
