epoch,loss,train_acc,val_acc
1,3.1336,7.8,10.26
2,3.0853,11.22,10.26
3,3.0463,15.61,17.95
4,3.0187,17.07,25.64
5,2.9592,26.34,33.33
6,2.9108,29.76,35.9
7,2.8801,35.12,46.15
8,2.8095,35.61,58.97
9,2.7528,40.98,58.97
10,2.6904,46.83,58.97
11,2.6363,54.15,61.54
12,2.5811,54.63,69.23
13,2.477,57.07,76.92
14,2.4659,57.56,76.92
15,2.4256,58.05,74.36
16,2.3085,66.34,76.92
17,2.2536,66.83,79.49
18,2.2163,68.78,82.05
19,2.2018,70.73,82.05
20,2.1489,71.71,82.05
21,2.0894,69.76,84.62
22,2.0209,78.54,84.62
23,2.0343,69.27,82.05
24,1.9915,75.61,84.62
25,1.9575,73.17,82.05
26,1.9732,76.59,82.05
27,1.8824,79.02,84.62
28,1.8908,78.05,82.05
29,1.8959,79.02,82.05
30,1.88,74.63,84.62
31,1.8523,78.54,84.62
