epoch,loss,train_acc,val_acc
1,3.2394,3.9,7.69
2,3.0626,9.27,15.38
3,2.9166,16.59,17.95
4,2.8029,23.9,28.21
5,2.7319,25.85,35.9
6,2.5426,38.54,43.59
7,2.2971,41.95,46.15
8,2.2519,41.95,43.59
9,2.033,47.8,61.54
10,1.8727,57.07,66.67
11,1.7234,59.51,66.67
12,1.6641,64.39,71.79
13,1.5611,70.73,76.92
14,1.4862,71.71,76.92
15,1.4553,68.29,79.49
16,1.4171,71.22,79.49
17,1.4412,72.68,79.49
18,1.4986,68.78,79.49
19,1.4345,71.71,82.05
20,1.3474,77.56,79.49
21,1.4064,71.71,82.05
22,1.286,82.93,82.05
23,1.3192,74.15,79.49
24,1.3153,74.63,82.05
25,1.2964,73.17,82.05
26,1.2855,81.46,82.05
27,1.3009,79.51,82.05
28,1.2775,78.05,82.05
29,1.3143,80.49,82.05
