epoch,loss,train_acc,val_acc
1,3.1696,8.29,28.21
2,2.5992,31.71,43.59
3,1.8249,55.61,79.49
4,1.5572,66.34,84.62
5,1.3854,75.12,82.05
6,1.2315,80.98,79.49
7,1.0899,88.78,82.05
8,1.0138,90.24,89.74
9,1.1087,85.37,87.18
10,1.0504,88.78,87.18
11,0.9525,89.76,89.74
12,0.9334,93.66,89.74
13,0.9544,92.68,89.74
14,0.9125,94.63,87.18
15,0.8671,96.1,89.74
16,0.8879,94.63,92.31
17,0.8725,96.59,87.18
18,0.8636,96.59,89.74
19,0.8833,94.63,89.74
20,0.8335,96.1,89.74
21,0.842,97.07,92.31
22,0.8378,95.12,89.74
23,0.8274,96.59,89.74
24,0.8296,96.1,89.74
25,0.7968,98.05,89.74
26,0.8344,96.59,89.74
