model,lr_head,batch_size,unfreeze,dropout,val_acc,f1
ResNet50,0.001,16,last1,0.3,87.18,85.22
ResNet50,0.001,16,last1,0.0,84.62,80.87
ResNet50,0.001,16,last2,0.0,84.62,80.58
ResNet50,0.001,16,last2,0.3,79.49,75.38
ResNet50,0.001,32,last1,0.0,76.92,73.62
ResNet50,0.001,32,last2,0.3,69.23,63.33
ResNet50,0.001,32,last2,0.0,66.67,60.43
ResNet50,0.001,32,last1,0.3,61.54,52.61
ResNet50,0.0001,16,last2,0.0,25.64,14.37
ResNet50,0.0001,16,last1,0.0,20.51,12.56
ResNet50,0.0001,32,last2,0.0,17.95,8.82
ResNet50,0.0001,32,last1,0.3,15.38,13.95
ResNet50,0.0001,16,last1,0.3,12.82,8.28
ResNet50,0.0001,16,last2,0.3,12.82,9.06
ResNet50,0.0001,32,last1,0.0,10.26,6.52
ResNet50,1e-05,32,last2,0.0,10.26,2.17
ResNet50,1e-05,16,last1,0.3,7.69,1.88
ResNet50,1e-05,32,last1,0.0,7.69,2.11
ResNet50,0.0001,32,last2,0.3,5.13,2.21
ResNet50,1e-05,16,last2,0.0,5.13,1.58
ResNet50,1e-05,32,last1,0.3,5.13,2.17
ResNet50,1e-05,16,last1,0.0,2.56,0.0
ResNet50,1e-05,16,last2,0.3,2.56,0.0
ResNet50,1e-05,32,last2,0.3,2.56,2.9
