model,lr_head,batch_size,unfreeze,dropout,val_acc,f1
VGG16,0.001,16,last2,0.0,82.05,77.97
VGG16,0.001,16,last1,0.0,79.49,76.09
VGG16,0.001,16,last2,0.3,79.49,77.1
VGG16,0.001,32,last2,0.0,79.49,72.9
VGG16,0.001,32,last1,0.3,71.79,64.93
VGG16,0.001,16,last1,0.3,69.23,59.71
VGG16,0.001,32,last1,0.0,69.23,59.57
VGG16,0.001,32,last2,0.3,66.67,53.08
VGG16,0.0001,16,last2,0.0,33.33,22.87
VGG16,0.0001,16,last1,0.3,25.64,17.99
VGG16,0.0001,16,last1,0.0,23.08,16.96
VGG16,0.0001,16,last2,0.3,23.08,14.95
VGG16,0.0001,32,last1,0.0,23.08,17.29
VGG16,0.0001,32,last2,0.0,20.51,14.52
VGG16,0.0001,32,last2,0.3,20.51,13.59
VGG16,0.0001,32,last1,0.3,15.38,8.29
VGG16,1e-05,16,last2,0.3,10.26,8.7
VGG16,1e-05,32,last1,0.0,7.69,3.91
VGG16,1e-05,32,last2,0.3,7.69,7.97
VGG16,1e-05,16,last1,0.3,5.13,3.77
VGG16,1e-05,16,last2,0.0,5.13,1.45
VGG16,1e-05,32,last2,0.0,5.13,4.35
VGG16,1e-05,16,last1,0.0,2.56,2.9
VGG16,1e-05,32,last1,0.3,2.56,2.17
