model,lr_head,batch_size,unfreeze,dropout,val_acc,f1
ResNet50,0.001,16,last1,0.3,87.18,85.22
ResNet50,0.001,16,last1,0.0,84.62,80.87
ResNet50,0.001,16,last2,0.0,84.62,80.58
VGG16,0.001,16,last2,0.0,82.05,77.97
ResNet50,0.001,16,last2,0.3,79.49,75.38
VGG16,0.001,16,last1,0.0,79.49,76.09
VGG16,0.001,16,last2,0.3,79.49,77.1
VGG16,0.001,32,last2,0.0,79.49,72.9
ResNet50,0.001,32,last1,0.0,76.92,73.62
VGG16,0.001,32,last1,0.3,71.79,64.93
ResNet50,0.001,32,last2,0.3,69.23,63.33
VGG16,0.001,16,last1,0.3,69.23,59.71
VGG16,0.001,32,last1,0.0,69.23,59.57
ResNet50,0.001,32,last2,0.0,66.67,60.43
VGG16,0.001,32,last2,0.3,66.67,53.08
ResNet50,0.001,32,last1,0.3,61.54,52.61
VGG16,0.0001,16,last2,0.0,33.33,22.87
ResNet50,0.0001,16,last2,0.0,25.64,14.37
VGG16,0.0001,16,last1,0.3,25.64,17.99
VGG16,0.0001,16,last1,0.0,23.08,16.96
VGG16,0.0001,16,last2,0.3,23.08,14.95
VGG16,0.0001,32,last1,0.0,23.08,17.29
ResNet50,0.0001,16,last1,0.0,20.51,12.56
VGG16,0.0001,32,last2,0.0,20.51,14.52
VGG16,0.0001,32,last2,0.3,20.51,13.59
ResNet50,0.0001,32,last2,0.0,17.95,8.82
ResNet50,0.0001,32,last1,0.3,15.38,13.95
VGG16,0.0001,32,last1,0.3,15.38,8.29
ResNet50,0.0001,16,last1,0.3,12.82,8.28
ResNet50,0.0001,16,last2,0.3,12.82,9.06
ResNet50,0.0001,32,last1,0.0,10.26,6.52
ResNet50,1e-05,32,last2,0.0,10.26,2.17
VGG16,1e-05,16,last2,0.3,10.26,8.7
ResNet50,1e-05,16,last1,0.3,7.69,1.88
ResNet50,1e-05,32,last1,0.0,7.69,2.11
VGG16,1e-05,32,last1,0.0,7.69,3.91
VGG16,1e-05,32,last2,0.3,7.69,7.97
ResNet50,0.0001,32,last2,0.3,5.13,2.21
ResNet50,1e-05,16,last2,0.0,5.13,1.58
ResNet50,1e-05,32,last1,0.3,5.13,2.17
VGG16,1e-05,16,last1,0.3,5.13,3.77
VGG16,1e-05,16,last2,0.0,5.13,1.45
VGG16,1e-05,32,last2,0.0,5.13,4.35
ResNet50,1e-05,16,last1,0.0,2.56,0.0
ResNet50,1e-05,16,last2,0.3,2.56,0.0
ResNet50,1e-05,32,last2,0.3,2.56,2.9
VGG16,1e-05,16,last1,0.0,2.56,2.9
VGG16,1e-05,32,last1,0.3,2.56,2.17
